Year,Temp_Anomaly_C,Rain_Anomaly_mm
1901,-0.2893467,28.66504
1902,-0.20922089,-40.941284
1903,-0.09622383,-151.5658
1904,-0.09436035,-187.24548
1905,-0.3751297,-82.18201
1906,0.0073928833,21.686646
1907,-0.23317146,-131.59863
1908,-0.15735435,-1.4154053
1909,-0.2567749,140.81665
1910,-0.07891846,181.06982
1911,-0.35980415,51.09021
1912,-0.0633564,-157.97217
1913,0.063913345,-48.25183
1914,0.23722267,-122.76233
1915,-0.36434746,11.958008
1916,-0.5571232,95.05798
1917,-0.4718647,267.73206
1918,-0.5393467,26.574097
1919,-0.09523201,-140.12744
1920,-0.042785645,-170.16156
1921,-0.10024834,64.7677
1922,-0.27763557,-32.840576
1923,-0.43042755,-28.37561
1924,-0.1531601,16.013306
1925,-0.6071186,123.246704
1926,-0.198555,-48.545532
1927,-0.9535656,9.99939
1928,-0.8811321,17.609741
1929,-0.9796753,153.67554
1930,-0.34296227,50.012573
1931,0.13949776,122.388794
1932,0.044454575,-32.95459
1933,0.019800186,195.99292
1934,0.19992828,92.253784
1935,0.27469635,117.63074
1936,-0.18334389,-43.318115
1937,0.92393684,-76.91052
1938,1.104536,9.236206
1939,0.51047516,33.408325
1940,-0.009977341,-2.9833984
1941,0.46047783,74.08533
1942,0.20284271,-47.52942
1943,-0.2035656,67.38391
1944,0.21985817,12.702759
1945,-0.07402229,-38.250366
1946,-0.2506504,-164.78247
1947,0.13233185,124.448975
1948,-0.35106087,-91.80554
1949,0.19486237,103.69507
1950,-0.44010353,-170.16022
1951,0.12516212,181.86707
1952,-0.04027748,160.08533
1953,-0.13054848,20.081787
1954,-0.39453125,76.05237
1955,-0.49435997,200.25098
1956,-0.44156075,-30.96228
1957,-0.25927734,227.62366
1958,-0.040281296,-192.9455
1959,-0.06668091,65.277466
1960,-0.21801949,125.802734
1961,-0.3430786,-113.50354
1962,-0.34336853,221.4635
1963,-0.017377853,394.42725
1964,-0.4240799,-4.7370605
1965,-0.33836174,40.724365
1966,-0.008811951,6.590332
1967,-0.35164642,-65.21338
1968,-0.11120033,484.77612
1969,0.22154999,34.69287
1970,0.08973122,-95.95178
1971,-0.6750088,11.709717
1972,-0.4085827,-63.419556
1973,0.07528114,-40.40149
1974,-0.62215614,36.152466
1975,-0.75409126,-15.377686
1976,-0.82652473,-80.4917
1977,-0.17699432,-241.2846
1978,-0.429327,-47.470703
1979,-0.14395142,162.77332
1980,-0.19564056,-0.09655762
1981,0.1645565,-91.97131
1982,-0.080545425,-124.12598
1983,0.4406643,-360.75812
1984,0.3123417,-11.650879
1985,0.14969635,-24.76355
1986,0.018693924,-129.844
1987,0.50802803,-3.5736084
1988,-0.0005950928,-38.074097
1989,-0.2910366,80.279785
1990,0.08681679,-179.0658
1991,-0.06929779,55.84619
1992,-0.24092102,-238.50702
1993,-0.04155922,-121.197266
1994,-0.123903275,-62.19165
1995,0.12790108,-13.986694
1996,0.10319328,3.4969482
1997,0.109838486,-26.949707
1998,0.6607075,-167.88605
1999,0.042877197,67.472046
2000,0.18268013,-111.17078
2001,0.28629303,-115.39514
2002,0.4031353,-38.752563
2003,0.42434883,54.874023
2004,0.31869316,-58.61267
2005,0.6070957,-83.31677
2006,0.4454422,-63.66089
2007,0.45698357,68.18738
2008,0.1310482,109.62439
2009,0.49736595,30.132812
2010,0.7785435,101.93628
2011,0.4844284,-48.15454
2012,0.2325058,8.863037
2013,0.4079132,-137.33923
2014,0.5284271,9.660156
2015,0.64404297,-135.75452
2016,0.8939285,-51.775635
2017,0.7338486,-94.083984
2018,0.6576843,85.90271
2019,0.48921013,196.15088
2020,0.80231667,1.1230469
